"id","street","number","city","state","zip"
"6035ce07-af7e-4b79-8aab-f4c03d0b2ba1","Rua 1","123","Cidade 1","Estado 1","12345678"
"46803e65-a157-4deb-8347-7376bfe07552","Rua 2","456","Cidade 2","Estado 2","87654321"
"27080837-8cbf-41cf-9944-fa7d43e328fb","Rua 1","123","Cidade 1","Estado 1","12345678"
"23239a2b-0838-48ef-8e12-fab647e46a95","Rua 1","123","Cidade 1","Estado 1","12345678"
"93dd0cc3-dd73-404c-95bb-41dc105f83cd","Rua 1","123","Cidade 1","Estado 1","12345678"
"e7f7694b-b2f0-4465-9b0d-198a329e63d0","Rua","123","Cidaede","Estado","12345-123"
"b1b0b8d8-1920-4022-8365-fde4359eb852","Rua","123","Cidaede","Estado","12345-123"
"ae73dd8e-8193-43ff-b3f9-fb54e024eac2","Rua","123","Cidaede","Estado","12345-123"
"40c2a268-4a51-4bfc-a2fe-788ac39af404","Rua","123","Cidaede","Estado","12345-123"
"f3be8665-405a-452d-9000-06f65a7219b9","Rua","123","Cidaede","Estado","12345-123"
"33549dbe-c6d9-41bd-bfe4-825e86c4d6a3","Rua","123","Cidaede","Estado","12345-123"
"e485ab45-2f40-4fd6-804b-ad5ab11477f3","Rua","123","Cidaede","Estado","12345-123"
"0c055b83-e2a0-4d82-ae00-64d8af2b80a2","Rua","123","Cidaede","Estado","12345-123"
"b3cfa69e-9ae6-419f-96d9-58101ed1e8c8","Rua 1","123","Cidade 1","Estado 1","12345678"
"5642403f-b651-4481-bfad-0f0b313ed03e","Rua 2","456","Cidade 2","Estado 2","87654321"
"d2ed95be-a935-44d1-8ae1-d760e51ebecd","Rua 3","789","Cidade 3","Estado 3","87654321"
"50aa6cbd-c03b-4c87-be40-c2df3739f096","Rua 1","123","Cidade 1","Estado 1","12345678"
"eef4b221-2090-471a-b9b2-7bbd7cffb344","Rua 1","123","Cidade 1","Estado 1","12345678"
"f15a23ea-c0e9-44f5-93bf-0c0422f87f93","Rua 2","456","Cidade 2","Estado 2","87654321"
"71ff5081-eb4a-40ab-8488-7b3169fca65e","Rua 1","120","Araraquara","São Paulo","14800737"
"0acacbe5-3194-4012-a3a6-0661621b4786","Rua","123","Cidaede","Estado","12345-123"
